allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000004804-KanMX,gyl1,Disruption marked with KanMX,NA,NA,NA
S000004806-KanMX,mrpl24,Disruption marked with KanMX,NA,NA,NA
S000004807-KanMX,rpl36a,Disruption marked with KanMX,NA,NA,NA
S000004805-KanMX,ymr193c-a,Disruption marked with KanMX,NA,NA,NA
S000004808-KanMX,icy1,Disruption marked with KanMX,NA,NA,NA
S000004809-KanMX,ymr196w,Disruption marked with KanMX,NA,NA,NA
S000004811-KanMX,cik1,Disruption marked with KanMX,NA,NA,NA
S000004812-KanMX,cln1,Disruption marked with KanMX,NA,NA,NA
S000004814-KanMX,rad14,Disruption marked with KanMX,NA,NA,NA
S000004815-KanMX,erg2,Disruption marked with KanMX,NA,NA,NA
S000004817-KanMX,inp1,Disruption marked with KanMX,NA,NA,NA
S000004818-KanMX,pfk2,Disruption marked with KanMX,NA,NA,NA
S000004819-KanMX,ymr206w,Disruption marked with KanMX,NA,NA,NA
S000004820-KanMX,hfa1,Disruption marked with KanMX,NA,NA,NA
S000004823-KanMX,ymr210w,Disruption marked with KanMX,NA,NA,NA
S000004827-KanMX,scj1,Disruption marked with KanMX,NA,NA,NA
S000004828-KanMX,gas3,Disruption marked with KanMX,NA,NA,NA
S000004829-KanMX,sky1,Disruption marked with KanMX,NA,NA,NA
S000004830-KanMX,gua1,Disruption marked with KanMX,NA,NA,NA
S000004832-KanMX,esc1,Disruption marked with KanMX,NA,NA,NA
S000004834-KanMX,ymr221c,Disruption marked with KanMX,NA,NA,NA
S000004835-KanMX,fsh2,Disruption marked with KanMX,NA,NA,NA
S000004836-KanMX,ubp8,Disruption marked with KanMX,NA,NA,NA
S000004837-KanMX,mre11,Disruption marked with KanMX,NA,NA,NA
S000004838-KanMX,mrpl44,Disruption marked with KanMX,NA,NA,NA
S000004839-KanMX,ymr226c,Disruption marked with KanMX,NA,NA,NA
S000004841-KanMX,mtf1,Disruption marked with KanMX,NA,NA,NA
S000004843-KanMX,rps10b,Disruption marked with KanMX,NA,NA,NA
S000004844-KanMX,pep5,Disruption marked with KanMX,NA,NA,NA
S000004845-KanMX,fus2,Disruption marked with KanMX,NA,NA,NA
S000004846-KanMX,tri1,Disruption marked with KanMX,NA,NA,NA
S000004847-KanMX,rnh1,Disruption marked with KanMX,NA,NA,NA
S000004850-KanMX,bch1,Disruption marked with KanMX,NA,NA,NA
S000004851-KanMX,dfg5,Disruption marked with KanMX,NA,NA,NA
S000004854-KanMX,yhm2,Disruption marked with KanMX,NA,NA,NA
S000004855-KanMX,rpl20a,Disruption marked with KanMX,NA,NA,NA
S000004856-KanMX,zrc1,Disruption marked with KanMX,NA,NA,NA
S000004858-KanMX,ymr244w,Disruption marked with KanMX,NA,NA,NA
S000004859-KanMX,ymr245w,Disruption marked with KanMX,NA,NA,NA
S000004857-KanMX,coa6,Disruption marked with KanMX,NA,NA,NA
S000004860-KanMX,faa4,Disruption marked with KanMX,NA,NA,NA
S000004861-KanMX,rkr1,Disruption marked with KanMX,NA,NA,NA
S000004862-KanMX,gad1,Disruption marked with KanMX,NA,NA,NA
S000004863-KanMX,gto3,Disruption marked with KanMX,NA,NA,NA
S000004864-KanMX,hor7,Disruption marked with KanMX,NA,NA,NA
S000004865-KanMX,ymr252c,Disruption marked with KanMX,NA,NA,NA
S000004866-KanMX,ymr253c,Disruption marked with KanMX,NA,NA,NA
S000004867-KanMX,ymr254c,Disruption marked with KanMX,NA,NA,NA
S000004868-KanMX,gfd1,Disruption marked with KanMX,NA,NA,NA
S000004869-KanMX,cox7,Disruption marked with KanMX,NA,NA,NA
